steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
1.0,2.398081733190338e-14,1.8540724511240114e-14
2.0,2.1871393585115584e-14,2.5091040356528538e-14
3.0,2.6756374893466273e-14,2.2426505097428162e-14
4.0,2.375877272697835e-14,2.070565940925917e-14
5.0,3.375077994860476e-14,1.6986412276764895e-14
6.0,1.9761969838327786e-14,1.784683512084939e-14
7.0,2.1316282072803006e-14,1.5265566588595902e-14
8.0,2.7200464103316335e-14,1.787459069646502e-14
9.0,1.5987211554602254e-14,1.554312234475219e-14
10.0,2.070565940925917e-14,1.587618925213974e-14
11.0,2.2537527399890678e-14,1.5765166949677223e-14
12.0,1.8096635301390052e-14,1.454392162258955e-14
13.0,1.8984813721090177e-14,1.2101430968414206e-14
14.0,2.19824158875781e-14,1.3322676295501878e-14
15.0,1.5987211554602254e-14,1.2323475573339238e-14
16.0,1.6653345369377348e-14,9.325873406851315e-15
17.0,1.4876988529977098e-14,1.5432100042289676e-14
18.0,1.865174681370263e-14,1.2212453270876722e-14
19.0,1.709743457922741e-14,8.548717289613705e-15
20.0,1.554312234475219e-14,1.1879386363489175e-14
21.0,1.6986412276764895e-14,1.2323475573339238e-14
22.0,2.0650148258027912e-14,1.1324274851176597e-14
23.0,1.815214645262131e-14,1.2212453270876722e-14
24.0,1.9984014443252818e-14,8.548717289613705e-15
25.0,1.4654943925052066e-14,1.049160758270773e-14
26.0,1.509903313490213e-14,8.43769498715119e-15
27.0,1.6431300764452317e-14,8.881784197001252e-15
28.0,1.5654144647214707e-14,1.1324274851176597e-14
29.0,1.7985612998927536e-14,8.049116928532385e-15
30.0,2.3869795029440866e-14,8.548717289613705e-15
31.0,1.454392162258955e-14,8.881784197001252e-15
32.0,1.4876988529977098e-14,1.2101430968414206e-14
33.0,1.3766765505351941e-14,8.659739592076221e-15
34.0,1.2712053631958042e-14,1.0602629885170245e-14
35.0,1.4099832412739488e-14,1.021405182655144e-14
36.0,1.9761969838327786e-14,6.328271240363392e-15
37.0,1.2989609388114332e-14,6.827871601444713e-15
38.0,1.3100631690576847e-14,7.66053886991358e-15
39.0,1.6542323066914832e-14,8.215650382226158e-15
40.0,1.765254609153999e-14,8.826273045769994e-15
41.0,1.2878587085651816e-14,8.715250743307479e-15
42.0,9.004483154662069e-7,9.679509280768883e-7
43.0,1.279206936266597e-6,8.685481724945987e-7
44.0,1.3016295993262261e-6,8.719520067090869e-7
45.0,1.125812302826823e-6,8.174197283494777e-7
46.0,1.0601905928719901e-6,7.048077418359e-7
47.0,1.4991728662927528e-6,6.336391507044681e-7
48.0,1.0616977377253534e-6,7.393746114248145e-7
49.0,1.0477583867185558e-6,6.576851203643486e-7
50.0,8.786383060011005e-7,6.271982925243336e-7
51.0,8.067922802057481e-7,5.817128987395392e-7
52.0,9.878889871695051e-7,6.859914433166026e-7
53.0,9.988754736678374e-7,5.825623312638584e-7
54.0,9.857057492457244e-7,7.33596444701945e-7
55.0,7.897337542805971e-7,5.941422267508045e-7
56.0,9.372492057180271e-7,6.46237129697802e-7
57.0,8.681000773780312e-7,5.46465062534196e-7
58.0,7.932794423570755e-7,5.886525267229104e-7
59.0,8.928489826365293e-7,6.729109305325665e-7
60.0,8.558951352100053e-7,5.628374334931685e-7
61.0,1.004387113479055e-6,7.546286020509996e-7
62.0,7.84723579561053e-7,6.687343196976059e-7
63.0,9.451047241065824e-7,6.483398458101419e-7
64.0,9.044840185712388e-7,5.579828188384539e-7
65.0,1.6882589722877483e-6,1.0109945532965625e-6
66.0,1.3022517401095612e-6,1.295616684937606e-6
67.0,1.1866762179568724e-6,1.0109988786144442e-6
68.0,1.5307757582627701e-6,8.865373364308482e-7
69.0,1.3405429073465314e-6,9.53937957515194e-7
70.0,1.3727390063555944e-6,1.0555300241632537e-6
71.0,1.4201724276574623e-6,9.226079976665247e-7
72.0,1.5521053970957155e-6,1.1253189278193076e-6
73.0,1.4551357656600317e-6,9.343004937489852e-7
74.0,1.2755326623814511e-6,9.525650817021614e-7
75.0,1.4366307418134383e-6,9.657514352667818e-7
76.0,1.6422712375563364e-6,9.240737256499543e-7
77.0,1.3712464054238538e-6,7.177255215706779e-7
78.0,1.5538879891696666e-6,8.475738946245315e-7
79.0,1.5685779634067032e-6,8.770206262331826e-7
80.0,1.594500756096906e-6,7.974138820365795e-7
81.0,1.4269402739408577e-6,9.311444649773293e-7
82.0,1.4414118636452145e-6,9.476181842549281e-7
83.0,1.5133512620835177e-6,8.253475578534619e-7
84.0,1.0106749753768796e-6,8.010891595633396e-7
85.0,1.5413568217326201e-6,7.681356118949267e-7
86.0,1.7640571688959383e-6,7.975463964804419e-7
87.0,1.7928884534779144e-6,8.858452229532077e-7
88.0,2.6564700715825396e-6,1.216541478998856e-6
89.0,1.976201734033012e-6,1.032046734184e-6
90.0,1.7459535983643804e-6,1.16135502503667e-6
91.0,2.266090588509684e-6,9.602210189196825e-7
92.0,2.0667156704901046e-6,1.3212180262067719e-6
93.0,2.046264779731466e-6,9.410253204444885e-7
94.0,1.9499691715219036e-6,9.438518483451119e-7
95.0,1.8082763131310742e-6,9.39427336255072e-7
96.0,1.9560986337374686e-6,1.1523678430380713e-6
97.0,1.6677260782985148e-6,9.344214083606417e-7
98.0,2.1044390802194e-6,1.0186882561935562e-6
99.0,1.772544821809774e-6,8.561428977982288e-7
100.0,2.104103231093113e-6,8.683926921992935e-7
101.0,1.816355357314725e-6,8.880049653381406e-7
102.0,2.379762379267625e-6,9.541910235832951e-7
103.0,2.0062974974699443e-6,8.798564601342207e-7
104.0,1.462774149363355e-6,8.791087429127487e-7
105.0,2.0636134128171335e-6,8.701728326787617e-7
106.0,1.8378332677926323e-6,8.575754470996344e-7
107.0,1.7130074494442482e-6,8.353122203930141e-7
108.0,2.4498264713512796e-6,8.178908265099594e-7
109.0,1.816839153123695e-6,9.53878057097235e-7
110.0,1.934337524045482e-6,8.398409284682273e-7
111.0,2.2139118558417437e-6,1.3398093340333261e-6
112.0,1.9210613370068685e-6,1.6237698322596472e-6
113.0,2.3073752382085644e-6,1.2395876476389844e-6
114.0,2.489556889639921e-6,1.141052819342292e-6
115.0,1.97204079332991e-6,1.3300890819856193e-6
116.0,2.1444801985293083e-6,1.1625547061688835e-6
117.0,2.267053663240759e-6,1.2453552754587704e-6
118.0,2.7918785588942896e-6,1.2128935739097457e-6
119.0,2.181315627014513e-6,1.180019800428589e-6
120.0,2.3805837648938066e-6,1.2677599522392669e-6
121.0,2.09328207090298e-6,1.2551265442528603e-6
122.0,2.3760072188072634e-6,1.1909188111225433e-6
123.0,2.102140277626674e-6,1.0347609409322445e-6
124.0,2.153770821688994e-6,1.0432717494346377e-6
125.0,2.0284485080512837e-6,1.1704136410051191e-6
126.0,2.2043209810806985e-6,1.249214598098014e-6
127.0,2.5474047991025373e-6,1.200903752551774e-6
128.0,2.4865982412025645e-6,9.640886373674107e-7
129.0,1.7198843108578998e-6,1.216685557192676e-6
130.0,2.0449533937316744e-6,9.928378572610086e-7
131.0,1.8766599446801147e-6,1.2347553161040636e-6
132.0,1.8183133598803636e-6,1.0139897992367253e-6
133.0,2.6956248868614807e-6,1.1226711621459273e-6
134.0,2.373086729012819e-6,1.8269024226746922e-6
135.0,2.239767615264121e-6,1.6725315301613364e-6
136.0,2.681426396367037e-6,1.9229010271848423e-6
137.0,2.714607656884027e-6,1.593745360684018e-6
138.0,2.627640073415982e-6,1.5588449440162577e-6
139.0,2.1984969531541054e-6,1.3896383725953143e-6
140.0,2.979141583425715e-6,1.3500250454212548e-6
141.0,2.3779751507913005e-6,1.6735941903434082e-6
142.0,2.3147475525231442e-6,1.2621535027124153e-6
143.0,2.7108468519942974e-6,1.3706567010274284e-6
144.0,2.444415949987011e-6,1.3897527741946192e-6
145.0,2.2962216493782606e-6,1.4853883876231322e-6
146.0,2.4998543183274435e-6,1.3878840425807226e-6
147.0,2.4040100025102262e-6,1.3014630413366035e-6
148.0,2.325588826512792e-6,1.3821718813922246e-6
149.0,2.2503326952971747e-6,1.5204956482772758e-6
150.0,2.4472961669408377e-6,1.3150685934659734e-6
