steps,timer_ciph_comp_vec_FD,timer_ciph_conf_vec_FD,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_FD,timer_plain_conf_vec_FD,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
1.0,3.2851283600000003,111.90229881200001,7.8077249360000005,148.2708514,0.0,6.120000000000001e-6,0.0,1.1961000000000001e-5
2.0,7.447306094000001,111.90229881200001,17.427659465,148.2708514,5.580000000000255e-6,6.120000000000001e-6,6.060000000000006e-6,1.1961000000000001e-5
3.0,11.075788852,111.90229881200001,25.919551408,148.2708514,6.750000000000245e-6,6.120000000000001e-6,8.730000000000196e-6,1.1961000000000001e-5
4.0,14.57420701,111.90229881200001,32.604616502,148.2708514,7.480000000000247e-6,6.120000000000001e-6,1.0720999999999994e-5,1.1961000000000001e-5
5.0,18.057758682000003,111.90229881200001,38.289687904000004,148.2708514,8.220000000000189e-6,6.120000000000001e-6,1.2871000000000236e-5,1.1961000000000001e-5
6.0,21.388413702,111.90229881200001,44.134290537000005,148.2708514,9.610000000000174e-6,6.120000000000001e-6,1.4321000000000299e-5,1.1961000000000001e-5
7.0,24.660197653,111.90229881200001,49.92723067,148.2708514,1.0240000000000336e-5,6.120000000000001e-6,1.675100000000018e-5,1.1961000000000001e-5
8.0,27.843709573,111.90229881200001,55.46770934800001,148.2708514,1.0970000000000337e-5,6.120000000000001e-6,1.829100000000014e-5,1.1961000000000001e-5
9.0,30.961495837,111.90229881200001,61.711908751,148.2708514,1.1690000000000398e-5,6.120000000000001e-6,1.981100000000022e-5,1.1961000000000001e-5
10.0,33.921167061000006,111.90229881200001,68.060924704,148.2708514,1.335000000000008e-5,6.120000000000001e-6,2.337100000000033e-5,1.1961000000000001e-5
11.0,36.846206766,111.90229881200001,73.877473717,148.2708514,1.3970000000000302e-5,6.120000000000001e-6,2.5251000000000006e-5,1.1961000000000001e-5
12.0,39.674611339,111.90229881200001,80.19550065,148.2708514,1.4540000000000386e-5,6.120000000000001e-6,2.8341000000000303e-5,1.1961000000000001e-5
13.0,42.438699562000004,111.90229881200001,86.21976225,148.2708514,1.516100000000008e-5,6.120000000000001e-6,2.975100000000017e-5,1.1961000000000001e-5
